"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm10566",3.70621214372336,-1.01013077198718e-06,0.00144269314394609,0.405741429520145,0.999993275143934
"Kcnb2",0.519823352927849,-1.56475129614183e-08,0.00144269502812212,0.983413731060456,0.999993275143934
"Terf1",15.8759391494853,5.68224976489624e-07,0.00144268914888524,0.788642659380794,0.999993275143934
"Rpl7",618.10515470437,6.54234520827557e-07,0.00144267870166949,0.852034480986107,0.999993275143934
"Rdh10",14.93096443019,-4.45214965792625e-08,0.00144269067861429,0.978781919922134,0.999993275143934
"Stau2",4.55073454095899,1.25158674063911e-06,0.00144269271321392,0.362937185294077,0.999993275143934
"Ube2w",23.4985804153311,-6.44673317854591e-07,0.00144268579267887,0.802728802184609,0.999993275143934
"Eloc",117.150060776191,-7.43541270027658e-07,0.00144268057340977,0.817061045271651,0.999993275143934
"Tmem70",26.8487724637142,3.66874701382906e-07,0.00144268673909645,0.883221944945763,0.999993275143934
"Ly96",25.1551610799748,-3.24673469621116e-06,0.00144268809589517,0.196967535178398,0.999993275143934
"Jph1",1.33494586909113,-5.40160005601567e-07,0.00144269435863408,0.460145745468581,0.999993275143934
"Gdap1",0.318516440388307,1.19679581874544e-07,0.00144269493063302,0.748066670058396,0.999993275143934
"Pi15",46.0552531276723,1.93923767788286e-08,0.00144269299366148,0.989301372659789,0.999993275143934
"Crispld1",1.38272852222193,7.09612924603831e-07,0.00144269447624382,0.266379465955363,0.999993275143934
"Gm10075",1.33349548478091,-6.08265340702055e-08,0.00144269435228661,0.937910353901977,0.999993275143934
"Gm4849",0.702726310600671,-1.31813002929686e-07,0.00144269464372018,0.789860338040315,0.999993275143934
"Gm15795",0.815215936075284,7.62648801573098e-08,0.00144269478375769,0.880014287458933,0.999993275143934
"Mcm3",27.8087105459923,2.0984113809916e-06,0.0014426910659361,0.262550934504506,0.999993275143934
"Paqr8",2.62754252181517,1.38953117181039e-07,0.00144269364343913,0.889105499989731,0.999993275143934
"Efhc1",0.545532187326857,-5.86587142495145e-08,0.0014426947561617,0.884294539001469,0.999993275143934
"Tram2",14.277632387019,1.15972013890507e-06,0.00144269091148555,0.51684179072719,0.999993275143934
"Tmem14a",1.94234658977742,1.93650634047871e-08,0.0014426940749725,0.982634987760643,0.999993275143934
"Khdc1a",0.520110213439539,1.52808496157909e-07,0.0014426948474819,0.699066842980883,0.999993275143934
"Kcnq5",1.34355628815468,6.36145250704135e-08,0.00144269435357539,0.931813956669495,0.999993275143934
"Gm7658",2.56519564016252,1.47561167293521e-06,0.00144269420093223,0.131201549821218,0.999993275143934
"Gm29107",0.880259593282664,-3.36952050715902e-07,0.00144269446931305,0.599270501874013,0.999993275143934
"Ogfrl1",2.37226265886166,9.4090769082934e-07,0.00144269390054362,0.34246311506422,0.999993275143934
"B3gat2",0.332567819306109,-9.56578123961769e-08,0.00144269489113565,0.821009680672651,0.999993275143934
"Smap1",48.4498281241005,1.30061841337215e-06,0.0014426844901529,0.644720304701307,0.999993275143934
"Sdhaf4",27.649772838485,-1.91334081232018e-06,0.00144268573764507,0.475931995696805,0.999993275143934
"Fam135a",9.91349205750475,-5.95205005454625e-07,0.00144268947880787,0.767067804690221,0.999993275143934
"Tubb4b-ps2",2.53288975804197,6.6885261423344e-07,0.00144269399213995,0.455301897862398,0.999993275143934
"Gm28439",3.09597003311936,1.83611851677123e-07,0.00144269414346956,0.823934160249609,0.999993275143934
"Gm10222",7.16082156199674,6.01502531047768e-07,0.00144269322245786,0.607992473936058,0.999993275143934
"Gm28438",141.643280161485,2.11014480481855e-06,0.001442688949685,0.34566406707699,0.999993275143934
"Gm28437",4176.49704863518,-8.61778313094684e-07,0.00144266962992979,0.837338268828156,0.999993275143934
"Gm10925",3093.65967899765,8.35926027587146e-07,0.00144267888696903,0.810322771694549,0.999993275143934
"Gm28661",2008.23270937584,6.33635100162424e-07,0.00144267231640255,0.87840463695537,0.999993275143934
"Gm29216",1389.41497714008,1.01234172926362e-06,0.00144268491423935,0.714152737104627,0.999993275143934
"Lmbrd1",32.0668746563249,7.76664118378194e-08,0.00144268451822016,0.979366185270781,0.999993275143934
"Gm7846",4.21098906195411,1.46972013346752e-07,0.00144269293799717,0.909976788597134,0.999993275143934
"Gm5525",27.0764419268484,-1.2278871560513e-06,0.00144268822657016,0.587107101870689,0.999993275143934
"Phf3",31.4960091996665,-1.35755441525818e-07,0.00144268564195233,0.956473039992673,0.999993275143934
"Gm37906",0.640752725525636,-1.16452329118352e-07,0.0014426947973809,0.764207118878408,0.999993275143934
"Ptp4a1",17.5349864688496,1.31816448391981e-06,0.00144269093101159,0.466534522618089,0.999993275143934
"Gm7114",0.344395374035616,1.40428799832155e-08,0.00144269492572776,0.941775213761236,0.999993275143934
"Prim2",17.3582225752359,1.00310702873467e-06,0.00144268981717512,0.615910082396404,0.999993275143934
"Gm29228",0.895946448483036,2.70835337598082e-07,0.00144269464897856,0.622874172456144,0.999993275143934
"1700001G17Rik",0.295420413035952,-2.51291129050701e-07,0.00144269497495615,0.59267796735735,0.999993275143934
"Rab23",7.28336523621092,-7.58958153996588e-07,0.0014426909315203,0.661436161453926,0.999993275143934
"Bag2",39.1748699997931,2.10038149225651e-06,0.00144269135420987,0.244897711337025,0.999993275143934
"Zfp451",15.4874444575326,3.98333323895544e-06,0.00144269039474465,0.0880073612992874,0.999993275143934
"Gm15455",0.378216401975024,1.85105132499205e-07,0.00144269486600362,0.680283255525586,0.999993275143934
"Bend6",0.641361578120541,1.78371071278462e-07,0.00144269460472705,0.765668038655884,0.999993275143934
"Dst",127.690621072819,1.37603148857456e-06,0.00144268833235475,0.544511758903759,0.999993275143934
"Gm37354",0.594081462994761,9.62058450429998e-08,0.00144269484664329,0.849030720639409,0.999993275143934
"Gm38157",2.04982286767068,1.53599167117589e-07,0.0014426939324885,0.86590462010269,0.999993275143934
"Gm26788",1.70795999997261,8.20638812277169e-07,0.00144269452904022,0.242678638049599,0.999993275143934
"Gm37385",0.461495717759552,1.45583664518712e-07,0.00144269490748932,0.470878093698908,0.999993275143934
"Gm37233",0.675605855502611,1.74671496341509e-07,0.00144269453454308,0.761300528576771,0.999993275143934
"Ccdc115",19.4033846468438,-1.64564184492926e-06,0.00144268656105034,0.517535804128936,0.999993275143934
"Imp4",43.8245521473465,1.56556523903547e-06,0.0014426850081934,0.571594672781357,0.999993275143934
"Ptpn18",21.4842275436777,-1.34058869089018e-06,0.00144269211454258,0.377319692978828,0.999993275143934
"Arhgef4",1.46944496725426,1.05588424293657e-07,0.00144269430492208,0.878013461917668,0.999993275143934
"Gm38336",0.293045017793074,2.2937953581651e-07,0.00144269497522147,0.891501189464824,0.999993275143934
"Fam168b",32.1124953558587,1.32930552454743e-06,0.00144268436123168,0.639600133432245,0.999993275143934
"Gm37127",0.75831230757674,5.17141831651824e-07,0.00144269468820232,0.376259293133056,0.999993275143934
"Plekhb2",31.9117848976325,9.4492247579315e-07,0.00144268850932531,0.670562196518176,0.999993275143934
"Hs6st1",9.87135428089734,3.81360408186219e-08,0.00144268994029709,0.986436144313746,0.999993275143934
"Uggt1",85.2207992257865,2.4375220145819e-07,0.00144268533357859,0.928945790421468,0.999993275143934
"Neurl3",2.41133477067068,-3.06691083745029e-07,0.00144269358066942,0.761771766267416,0.999993275143934
