"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Ctso",59.0316203168915,0.890210065547195,0.380373755930723,0.00115365304742827,0.0452441749691416
"Fhdc1",10.0065847903249,-2.68966741013811,0.973841510228911,0.000623525651207285,0.0299129678423043
"Ntrk1",10.9406414765747,2.63846568832348,0.833809619424965,8.47496817695963e-05,0.00800606117855559
"Bglap3",20.158286224337,-4.44017014279018,1.12719080625562,1.98823145201047e-05,0.00282236309733801
"S100a4",47.8327861103613,1.54257262840113,0.566089227186176,0.000279057158015178,0.0170356497124171
"S100a6",2936.47284980101,1.04670569661778,0.372637659283517,0.000301848813304039,0.0180024301464556
"Sprr2g",243.234087834453,3.81647186711952,1.53116520147268,0.00041069709504899,0.0224271806081183
"Crct1",54.8741894000648,3.60172912392404,1.60940246636249,0.000716483869243176,0.0331169079848042
"S100a10",783.967225973631,1.05022242985905,0.271736437147029,8.0062966619319e-06,0.00150170277389453
"Ctsk",534.644842965384,-0.732109052590324,0.274609759694273,0.000575591876471764,0.0286511925588368
"Pdzk1",4.75045633319771,-4.5181815224169,2.41176950220109,0.000273421248050847,0.0169834072121486
"Hmgcs2",32.502366018764,5.16541989713242,0.916351525825269,1.93895509401798e-09,2.09116306889839e-06
"Olfml3",98.5195503546201,2.32629278061081,0.498805106615999,1.76404157643161e-07,8.15365217220641e-05
"Gstm2",47.6956402261505,1.12110504815253,0.327436203245754,3.70699181751079e-05,0.00443781904683875
"Bcar3",17.1475802042599,-2.36125707785604,0.659809880951979,2.74898270338302e-05,0.00359367011587707
"Cyr61",98.8644831502401,-2.13495900954091,0.405660191498353,6.07728113568078e-09,5.61801231842719e-06
"Gm10288",119.687665218409,0.725737305345778,0.280980036525943,0.000842118169924969,0.0369447232378608
"Esrp1",9.61066404753435,-4.03592583657276,1.36389013128455,0.000184179619292529,0.01334523918285
"Aqp3",11.1133357583031,-3.20344520339703,0.978215476022111,0.000136012733549961,0.010733395107339
"Ccl21a",4.49668285407585,4.63735379600598,1.71994651208222,0.000182757678391671,0.01334523918285
