"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"1"	"Ptges"	139.575054541471	1.32842965982536	0.560335302096203	0.000319395290468545	0.0254198952363299
"2"	"Auts2"	17.7205457942601	1.18250009317638	0.523376906025826	0.00060207429554894	0.0417803970512213
"3"	"D630045J12Rik"	23.9309708066459	1.40156687993805	0.512817949536236	0.000232496735892419	0.0204698844907282
"4"	"Cd24a"	35.0338730639345	1.89910631250667	0.676087703257837	0.000122893735030214	0.0136835673524153
"5"	"Ppm1h"	29.0390421317648	1.26753079438637	0.553267126882628	0.000521536604997585	0.037676339254364
"6"	"Tnnc1"	13.2177315792172	2.8029694002206	0.57748281527729	1.42531123578673e-07	9.56112351358461e-05
"7"	"Gpc6"	15.2375560731944	1.55585085860128	0.548133703635067	0.00016276521045882	0.0160340805575762
"8"	"Rab34"	30.9520296770069	1.22126040268113	0.476133090820787	0.000248047523656837	0.0215119647156535
"9"	"Tmem98"	12.2712165871208	1.42041657836757	0.591408792471259	0.000516490584694824	0.037608222306444
"10"	"Wnk4"	9.65628006564409	1.96626211361412	0.729987490136843	0.000363246131408616	0.0281156497425999
"11"	"Csdc2"	12.336145490718	3.55184524960382	0.942010088604602	1.33748832610636e-05	0.00303890291126779
"12"	"Prodh"	10.1559084105617	2.83707266060715	0.803950616238557	3.40568109871057e-05	0.00592294193055997
"13"	"Tmem204"	18.2566688376077	1.44721120773378	0.56073679175968	0.000336975366299872	0.026456075050735
"14"	"Fkbp5"	45.1872344766551	1.32686658017168	0.391629013916756	2.17762434923394e-05	0.00435045757640914
